"","Subject","Group","fea_f0","fea_full","fea_tbr","hap_f0","hap_full","hap_tbr","ple_f0","ple_full","ple_tbr","sad_f0","sad_full","sad_tbr"
"1","0129a79c",2,0.375,0.45,0.148148148148148,0.766666666666667,1,0.357142857142857,0.36,0.352941176470588,0.541666666666667,0.666666666666667,0.6,0.535714285714286
"2","046aea9b",2,0.461538461538462,0.5,0.16,0.857142857142857,1,0.344827586206897,0.566666666666667,0.7,0.538461538461538,0.5,0.454545454545455,0.625
"3","04ee791f",1,0.315789473684211,0.5,0.0909090909090909,1,1,0.384615384615385,0.46875,0.807692307692308,0.25,0.833333333333333,0.789473684210526,0.269230769230769
"4","04fd8955",2,0.740740740740741,0.846153846153846,0.444444444444444,0.818181818181818,1,0.36,0.5,0.958333333333333,0.6,0.571428571428571,0.771428571428571,0.310344827586207
"5","0703d03f",1,0.4375,0.653846153846154,0.357142857142857,0.91304347826087,0.96969696969697,0.346153846153846,0.25,0.666666666666667,0.260869565217391,0.764705882352941,0.785714285714286,0.592592592592593
"6","0982556e",2,0.518518518518518,0.76,0.217391304347826,0.578947368421053,0.724137931034483,0.478260869565217,0.352941176470588,0.391304347826087,0.333333333333333,0.36,0.222222222222222,0.645161290322581
"7","0d314033",2,0.541666666666667,0.833333333333333,0.227272727272727,0.958333333333333,0.970588235294118,0.478260869565217,0.28125,0.476190476190476,0.416666666666667,0.545454545454545,0.653846153846154,0.363636363636364
"8","131178b3",2,0.833333333333333,0.722222222222222,0.461538461538462,0.518518518518518,0.909090909090909,0.206896551724138,0.363636363636364,0.620689655172414,0.227272727272727,0.826086956521739,0.894736842105263,0.75
"9","13e3517c",2,0.821428571428571,0.863636363636364,0.636363636363636,0.80952380952381,1,0.6,0.608695652173913,0.769230769230769,0.578947368421053,0.6,0.826086956521739,0.52
"10","14482273",1,0.5,0.571428571428571,0.16,0.882352941176471,0.928571428571429,0.260869565217391,0.391304347826087,0.607142857142857,0.4,0.774193548387097,0.833333333333333,0.5
"11","16f7b9cd",1,0.526315789473684,0.68,0.272727272727273,0.888888888888889,0.96,0.608695652173913,0.347826086956522,0.518518518518518,0.285714285714286,0.681818181818182,0.833333333333333,0.423076923076923
