"","Subject","Group","ACC"
"1","006ead65","C",0.565972222222222
"2","0129a79c","A",0.512828872289657
"3","01e4b1dd","M",0.611111111111111
"4","046aea9b","A",0.55901521371349
"5","04ee791f","A",0.559149503639635
"6","04fd8955","A",0.660088012774794
"7","05c96b27","M",0.503472222222222
"8","0703d03f","A",0.583161024803714
"9","08b28f4f","M",0.59375
"10","0982556e","A",0.465184863505159
"11","0d314033","A",0.5622082809383
"12","0e85a85a","C",0.628472222222222
"13","131178b3","A",0.611168545094674
"14","13e3517c","A",0.719492760608321
"15","14482273","A",0.567433049423603
"16","16c7b14e","C",0.586805555555556
"17","16f7b9cd","A",0.585576244390127
"18","16ff3610","C",0.600694444444444
"19","1a4d3592","A",0.624523405516053
"20","1cafbf78","M",0.649305555555556
"21","1d02e7f7","C",0.586805555555556
"22","1d0d6b00","A",0.426390784876334
"23","1dd171b3","M",0.559033562084537
"24","1e39cb82","M",0.576388888888889
"25","1ef92b98","M",0.684027777777778
"26","1f5b1d12","A",0.65022219287539
"27","1fcd9703","A",0.592621651368843
"28","20ad6b57","M",0.555555555555556
"29","22575a7a","A",0.551624073978162
"30","2317733b","A",0.674089061770221
"31","265c651e","A",0.593572084188061
"32","2813cf23","A",0.486906780559798
"33","29731bf1","M",0.604166666666667
"34","2a37084e","C",0.559027777777778
"35","2e65ce6e","A",0.561202730441861
"36","318c705f","C",0.590277777777778
"37","324cea26","A",0.62021404611547
"38","34bc7021","A",0.595867497475596
"39","3655c713","C",0.663194444444444
"40","36d3024f","A",0.602248522843208
"41","38c800a9","A",0.651759207646889
"42","390dc09f","A",0.613800871364277
"43","39a234f0","A",0.557131850163459
"44","3c3d554a","A",0.535509536595462
"45","3d3bbe78","A",0.68659408529078
"46","3e232fdc","C",0.555555555555556
"47","420281f8","A",0.54994033892495
"48","45eeb9e9","A",0.455499840320481
"49","4964d924","M",0.510416666666667
"50","49b9b3ec","A",0.646256529473359
"51","4b52d9bd","A",0.664167595689335
"52","4e408b32","M",0.555555555555556
"53","53a653db","A",0.680425224618588
"54","53b9a972","C",0.524305555555556
"55","552e0861","A",0.622443192189199
"56","5746bdf9","C",0.673611111111111
"57","5846c1bb","A",0.697765739307633
"58","58520712","M",0.666666666666667
"59","58deb6f7","C",0.489583333333333
"60","5c4e274d","A",0.597007810256557
"61","5c9f5075","C",0.493055555555556
"62","5d221b19","C",0.479166666666667
"63","5dde584f","M",0.611111111111111
"64","5f457077","A",0.623955772568611
"65","5fe5defb","M",0.604166666666667
"66","612ee43e","C",0.510416666666667
"67","61fc0400","M",0.621527777777778
"68","6211ef6d","C",0.618055555555556
"69","62fa948a","C",0.572916666666667
"70","6391d0cc","C",0.666666666666667
"71","664d98e4","M",0.565972222222222
"72","67771cc7","C",0.604166666666667
"73","6a1429c4","M",0.628472222222222
"74","6b95592b","C",0.534722222222222
"75","720dfefd","A",0.673335915316405
"76","72c9fa91","C",0.611111111111111
"77","73314bd1","A",0.506777705261588
"78","7481904c","M",0.631944444444444
"79","76cf1530","C",0.590277777777778
"80","76e8cb48","A",0.624217290754958
"81","79cdb9f1","C",0.5625
"82","7c3eda1e","M",0.597222222222222
"83","7e6efe5e","M",0.604166666666667
"84","7eabca12","A",0.608423771731824
"85","82a6607f","A",0.621136463902581
"86","863033bd","A",0.571157431484949
"87","8aca3bdd","A",0.592276943538813
"88","8ed04a1e","A",0.517949993812063
"89","90249921","A",0.509052568742635
"90","929dad4d","A",0.581178714602628
"91","94d6da82","M",0.600694444444444
"92","9548883f","M",0.600694444444444
"93","95c7a9cf","A",0.4455943967315
"94","96917011","M",0.628472222222222
"95","98d32600","C",0.590277777777778
"96","996cd43e","M",0.614583333333333
"97","99a3afac","A",0.574966725707802
"98","9cb4bdd9","C",0.565972222222222
"99","9d49e9bb","A",0.565950767069188
"100","a456f01b","A",0.735297743287939
"101","a4a459c5","M",0.642361111111111
"102","a4d96170","C",0.625
"103","a617a0f5","A",0.594907301596313
"104","a6c585d3","A",0.563037352511037
"105","a759bf90","M",0.579861111111111
"106","a80befde","A",0.633687617147137
"107","a83a560b","A",0.63864456375898
"108","a9c2b21f","A",0.630282087898473
"109","ac31d7f9","A",0.604041525598247
"110","aca0bd2a","M",0.597222222222222
"111","ad5fe97f","A",0.569529287473128
"112","aecbc5c2","A",0.339673004198866
"113","af81b846","A",0.661844284276687
"114","afaf9330","A",0.580286593280014
"115","affea6fc","A",0.548433579117648
"116","b0ae6cfa","A",0.537362437742439
"117","b1050cbb","M",0.621527777777778
"118","b2a5db19","A",0.575339893772289
"119","b61350fc","C",0.569444444444444
"120","b6586471","A",0.641300740207824
"121","b778eb4f","A",0.597852162046535
