"","Subject","MType","Group","ACC"
"1","006ead65","f0","C",0.604166666666667
"2","006ead65","full","C",0.75
"3","006ead65","tbr","C",0.34375
"4","0129a79c","f0","A",0.542083333333333
"5","0129a79c","full","A",0.600735294117647
"6","0129a79c","tbr","A",0.395667989417989
"7","01e4b1dd","f0","M",0.666666666666667
"8","01e4b1dd","full","M",0.760416666666667
"9","01e4b1dd","tbr","M",0.40625
"10","046aea9b","f0","A",0.596336996336996
"11","046aea9b","full","A",0.663636363636364
"12","046aea9b","tbr","A",0.417072281167109
"13","04ee791f","f0","A",0.654468201754386
"14","04ee791f","full","A",0.774291497975709
"15","04ee791f","tbr","A",0.248688811188811
"16","04fd8955","f0","A",0.657587782587783
"17","04fd8955","full","A",0.893978937728938
"18","04fd8955","tbr","A",0.428697318007663
"19","05c96b27","f0","M",0.541666666666667
"20","05c96b27","full","M",0.625
"21","05c96b27","tbr","M",0.34375
"22","0703d03f","f0","A",0.591312340153453
"23","0703d03f","full","A",0.768981018981019
"24","0703d03f","tbr","A",0.389189715276672
"25","08b28f4f","f0","M",0.53125
"26","08b28f4f","full","M",0.78125
"27","08b28f4f","tbr","M",0.46875
"28","0982556e","f0","A",0.45260176585254
"29","0982556e","full","A",0.524416125270698
"30","0982556e","tbr","A",0.418536699392239
"31","0d314033","f0","A",0.581676136363636
"32","0d314033","full","A",0.73348954966602
"33","0d314033","tbr","A",0.371459156785244
"34","0e85a85a","f0","C",0.677083333333333
"35","0e85a85a","full","C",0.739583333333333
"36","0e85a85a","tbr","C",0.46875
"37","131178b3","f0","A",0.635393793002489
"38","131178b3","full","A",0.786684907147702
"39","131178b3","tbr","A",0.411426935133832
"40","13e3517c","f0","A",0.709912008281574
"41","13e3517c","full","A",0.864738522347218
"42","13e3517c","tbr","A",0.583827751196172
"43","14482273","f0","A",0.636962709347414
"44","14482273","full","A",0.735119047619048
"45","14482273","tbr","A",0.330217391304348
"46","16c7b14e","f0","C",0.645833333333333
"47","16c7b14e","full","C",0.6875
"48","16c7b14e","tbr","C",0.427083333333333
"49","16f7b9cd","f0","A",0.611212236784319
"50","16f7b9cd","full","A",0.747962962962963
"51","16f7b9cd","tbr","A",0.397553533423099
"52","16ff3610","f0","C",0.645833333333333
"53","16ff3610","full","C",0.78125
"54","16ff3610","tbr","C",0.375
"55","1a4d3592","f0","A",0.64360119047619
"56","1a4d3592","full","A",0.838371040723982
"57","1a4d3592","tbr","A",0.391597985347985
"58","1cafbf78","f0","M",0.697916666666667
"59","1cafbf78","full","M",0.822916666666667
"60","1cafbf78","tbr","M",0.427083333333333
"61","1d02e7f7","f0","C",0.625
"62","1d02e7f7","full","C",0.75
"63","1d02e7f7","tbr","C",0.385416666666667
"64","1d0d6b00","f0","A",0.444642857142857
"65","1d0d6b00","full","A",0.530025781299126
"66","1d0d6b00","tbr","A",0.304503716187019
"67","1dd171b3","f0","M",0.659090909090909
"68","1dd171b3","full","M",0.565406911928651
"69","1dd171b3","tbr","M",0.45260286523405
"70","1e39cb82","f0","M",0.604166666666667
"71","1e39cb82","full","M",0.739583333333333
"72","1e39cb82","tbr","M",0.385416666666667
"73","1ef92b98","f0","M",0.677083333333333
"74","1ef92b98","full","M",0.84375
"75","1ef92b98","tbr","M",0.53125
"76","1f5b1d12","f0","A",0.72202380952381
"77","1f5b1d12","full","A",0.849400882692625
"78","1f5b1d12","tbr","A",0.379241886409736
"79","1fcd9703","f0","A",0.645507340867381
"80","1fcd9703","full","A",0.737268518518518
"81","1fcd9703","tbr","A",0.39508909472063
"82","20ad6b57","f0","M",0.583333333333333
"83","20ad6b57","full","M",0.6875
"84","20ad6b57","tbr","M",0.395833333333333
"85","22575a7a","f0","A",0.513447079236553
"86","22575a7a","full","A",0.74227392977393
"87","22575a7a","tbr","A",0.399151212924004
"88","2317733b","f0","A",0.698427076144468
"89","2317733b","full","A",0.830627705627706
"90","2317733b","tbr","A",0.49321240353849
"91","265c651e","f0","A",0.584860960513238
"92","265c651e","full","A",0.778544061302682
"93","265c651e","tbr","A",0.417311230748262
"94","2813cf23","f0","A",0.501025883838384
"95","2813cf23","full","A",0.581285366931919
"96","2813cf23","tbr","A",0.378409090909091
"97","29731bf1","f0","M",0.583333333333333
"98","29731bf1","full","M",0.739583333333333
"99","29731bf1","tbr","M",0.489583333333333
"100","2a37084e","f0","C",0.53125
"101","2a37084e","full","C",0.677083333333333
"102","2a37084e","tbr","C",0.46875
"103","2e65ce6e","f0","A",0.602858293075684
"104","2e65ce6e","full","A",0.689916564916565
"105","2e65ce6e","tbr","A",0.390833333333333
"106","318c705f","f0","C",0.583333333333333
"107","318c705f","full","C",0.739583333333333
"108","318c705f","tbr","C",0.447916666666667
"109","324cea26","f0","A",0.628623188405797
"110","324cea26","full","A",0.81372349539516
"111","324cea26","tbr","A",0.418295454545455
"112","34bc7021","f0","A",0.649769685652039
