participant,intro_question1_1,LAge_1,LSex_1,LMotherLanguage_1,LStudyWork_1,LPreference_1,LPreferenceSpecific_1,LPreferenceSpecific_2,LPreferenceSpecific_3,LPreferenceSpecific_4,LPreferenceSpecific_5,LPreferenceSpecific_6,LPreferenceSpecific_other_6,LHearingDisabilitiesKnown_1,LHearingDisabilitiesKind_1,LHearingDisabilitiesConstraint_1,StartEmoExperiment_1,afterExp1AllSoundsPlayed_1,afterExp2InstructionsClear_1,afterExp3RatingEvaluation_1,afterExp3RatingEvaluation_2,afterExp3RatingEvaluation_3,afterExp3RatingEvaluation_4,afterExp3RatingEvaluation_5,afterExp3RatingEvaluation_6,afterExp3RatingEvaluation_7,afterExp3RatingEvaluation_8,afterExp4Strategy_1,StartModularPROMS_1,saq01_1,saq01_2,saq01_3,saq01_4,saq01_5,saq01_6,saq01_7,saq01_8,saq01_9,saq01_10,saq02_1,saq02_2,saq02_3,saq02_4,saq02_5,saq02_6,saq02_7,saq02_8,saq02_9,saq02_10,saq03_1,saq03_2,saq03_3,saq03_4,saq03_5,saq03_6,saq03_7,saq03_8,saq03_9,saq03_10,saq04_1,saq04_2,saq04_3,saq04_4,saq04_5,saq04_6,saq04_7,saq04_8,saq04_9,saq04_10,saq05_1,saq05_2,saq05_3,saq05_4,saq05_5,saq05_6,saq05_7,saq05_8,saq05_9,saq05_10,BFI01_1,BFI01_2,BFI01_3,BFI01_4,BFI01_5,BFI01_6,BFI01_7,BFI01_8,BFI01_9,BFI01_10,BFI02_1,BFI02_2,BFI02_3,BFI02_4,BFI02_5,BFI02_6,BFI02_7,BFI02_8,BFI02_9,BFI02_10,BFI03_1,BFI03_2,BFI03_3,BFI03_4,BFI03_5,BFI03_6,BFI03_7,BFI03_8,BFI03_9,BFI03_10,gold_MSI01_1,gold_MSI01_2,gold_MSI01_3,gold_MSI01_4,gold_MSI01_5,gold_MSI01_6,gold_MSI01_7,gold_MSI01_8,gold_MSI01_9,gold_MSI01_10,gold_MSI02_1,gold_MSI02_2,gold_MSI02_3,gold_MSI02_4,gold_MSI02_5,gold_MSI02_6,gold_MSI02_7,gold_MSI02_8,gold_MSI02_9,gold_MSI02_10,gold_MSI03_1,gold_MSI03_2,gold_MSI03_3,gold_MSI03_4,gold_MSI03_5,gold_MSI03_6,gold_MSI03_7,gold_MSI03_8,gold_MSI03_9,gold_MSI03_10,gold_MSI03_11,Question32_1,Question33_1,Question34_1,Question35_1,Question36_1,Question37_1,Question38_1,Question39_1,Question40_1,LMusicQualification_1,LMusicDegree_1,LMusicDegree2_1,LPerfectPitch_1,SES1_1,SES2_1,SES3_1,SES12_1,SES13_1,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,LPartCode_1,LPartCode_2,LPartCode_3,LPartCode_4,LPartCode_5,LPartCode_6,Anmerkungen_1,TIME_start,TIME_end,TIME_total
s.170d55b0-a1a2-47e5-956d-bcfb922213ce.txt,0106023,21,1,1,Philosophie,2,0,1,0,0,0,0,"",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2023-10-30-21-19,"",""
s.93bc314f-56b2-4a87-8157-250973703e93.txt,0106023,23,1,1,Bachelor of Science Geographie ,1,1,0,0,1,0,0,"",2,Tinnitus ,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2023-11-21-22-00,"",""
s.08d81ed2-47b7-4862-b7a6-189008eba336.txt,0106023,43,2,1,Wissenschaftler,2,0,1,0,0,0,1,Bläserensemble,1,"","",emo_parameters.2023-10-29-1652.data.08d81ed2-47b7-4862-b7a6-189008eba336.txt,2,"Instruktionen waren verständlich, die Stimmen meist etwas kurz und abgehackt~~Unsicherheit, ob Aussetzer technisch bedingt waren (Netz, Kopfhörer...)",4,3,2,4,2,4,4,1,kurzer Laut eher Angst oder Freude~~längerer nach unten gehender Laut Trauer~~hoch und kurz Angst oder Freude,ModularPROMS.2023-10-29-1723.data.08d81ed2-47b7-4862-b7a6-189008eba336.txt,2,2,1,3,2,3,4,1,3,3,2,2,4,3,2,1,2,3,3,3,2,2,3,1,3,1,2,2,1,3,2,4,2,2,3,2,2,2,3,2,3,3,2,1,3,3,2,1,2,3,4,4,2,5,5,2,1,4,3,2,3,4,5,4,4,4,1,4,4,1,4,5,3,2,4,3,3,2,2,2,7,7,4,5,6,6,7,6,1,6,2,5,2,1,5,6,6,6,5,6,5,6,1,6,5,5,3,3,3,2,6,15,3,6,1,8,5,3,Fagott,5,1,2,"",2,6,9,5,Deutschland,Deutschland,3,4,3,2,4,2,2,1,2,2,3,2,3,2,3,3,1,2,3,2,a,i,G,2,7,e,"",2023-10-29-11-21,2023-10-29-17-48,387
s.7af5a44c-f69f-47c5-bcd7-36d214482273.txt,0106023,28,1,3,Data Scientist,1,1,0,0,0,0,0,"",1,"","",emo_parameters.2023-06-19-2305.data.7af5a44c-f69f-47c5-bcd7-36d214482273.txt,1,"",5,3,2,4,2,3,4,1,"Ton, Betonungen, zittrige Stimme",ModularPROMS.2023-06-19-2330.data.7af5a44c-f69f-47c5-bcd7-36d214482273.txt,2,3,2,3,2,4,4,1,4,3,2,2,3,1,2,2,4,3,1,4,4,3,2,3,2,3,2,3,3,3,1,2,3,3,2,1,2,3,4,1,2,4,2,2,3,2,3,2,3,2,4,4,2,3,5,4,1,2,3,2,3,2,4,4,5,3,2,4,3,1,3,4,3,3,5,2,1,1,2,1,6,3,4,6,5,6,6,5,1,6,2,6,1,1,5,4,6,6,6,6,3,6,2,5,2,6,4,3,6,7,7,8,3,6,4,8,2,1,Gesang,6,2,2,"",2,6,9,4,Iran,Deutschland,3,2,3,3,2,3,2,1,1,2,3,1,4,1,2,2,4,4,2,1,a,h,g,1,6,o,"Könnte in kleineren Abschnitten aufgeteilt sein, damit man nicht alles an einem Stück machen muss.",2023-06-19-22-42,2023-06-19-23-48,66
s.02073e18-20d1-440d-8b72-7ace8ed04a1e.txt,0106023,23,2,1,Rechtswissenschaft,2,0,1,0,0,0,0,"",1,"","",emo_parameters.2023-10-25-0950.data.02073e18-20d1-440d-8b72-7ace8ed04a1e.txt,1,"",4,3,3,5,2,4,5,2,"",ModularPROMS.2023-10-25-1014.data.02073e18-20d1-440d-8b72-7ace8ed04a1e.txt,1,4,2,2,2,4,2,2,3,2,3,1,1,2,3,1,3,2,1,4,4,2,2,2,3,1,2,2,3,1,3,1,2,3,2,3,1,2,1,3,1,2,2,4,2,3,2,4,1,3,5,3,1,2,5,4,5,2,2,1,4,3,5,5,4,2,4,4,5,2,2,4,5,5,5,2,5,2,2,3,6,4,1,6,7,6,7,6,2,6,1,7,2,1,4,5,3,7,6,6,7,7,2,5,2,6,2,2,6,4,7,18,5,1,6,14,3,2,Cello,5,2,2,"",2,6,9,2,Deutschland,Deutschland,4,1,4,3,1,3,1,1,1,3,2,1,2,1,4,1,2,5,1,1,a,o,P,4,1,h,"",2023-10-25-09-31,2023-10-25-10-25,54
s.e3e56028-6cb9-40c3-90e4-daace4262038.txt,0106023,21,1,1,"Psychologie, Bachelor of Science ",1,1,0,0,0,0,0,"",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2023-11-06-14-56,"",""
s.c393980b-22b4-4770-944b-7deff3490f82.txt,0106023,24,1,1,Psychologin im Strafvollzug,1,1,0,1,0,0,0,"",1,"","",emo_parameters.2023-09-02-0800.data.c393980b-22b4-4770-944b-7deff3490f82.txt,1,"",3,3,4,4,2,4,5,1,"-Stimmmelodie: wenn es nach oben geht --> EHER Freude; wobei das dann auch nicht immer so war~~-Stimmeigenschaften wie ""wegbrechen"" --> eher Trauer",ModularPROMS.2023-09-02-0827.data.c393980b-22b4-4770-944b-7deff3490f82.txt,3,2,1,2,4,3,4,2,4,3,1,3,1,3,1,2,2,3,3,3,3,3,4,1,3,4,2,2,3,2,2,2,3,3,3,2,2,1,3,2,4,4,1,1,3,4,2,1,2,3,3,5,2,2,5,4,2,2,1,2,4,4,5,3,4,4,1,5,3,1,2,5,5,4,4,1,3,1,2,1,6,5,1,3,5,5,7,6,2,6,3,6,2,1,3,6,7,6,5,6,3,5,2,4,2,5,2,4,5,2,6,2,3,4,1,1,5,3,Gesang,7,2,2,"",2,6,9,4,Deutschland,Deutschland,4,2,4,4,1,4,1,1,1,3,2,1,3,1,4,1,4,4,1,1,L,N,E,8,1,A,"",2023-09-02-07-40,2023-09-02-08-41,61
s.c1e1659c-9de7-489d-b80d-6a5ec7e7e936.txt,0106023,21,1,1,Bachelor Biochemie,1,1,0,0,0,0,0,"",1,"","",emo_parameters.2023-11-11-0002.data.c1e1659c-9de7-489d-b80d-6a5ec7e7e936.txt,1,"die Instruktionen waren sehr verständlich~~ich wusste immer, was zu tun war",5,4,2,5,2,4,5,1,"Stimmen, die nach unten gingen, habe ich eher als traurig eingeordnet~~Stimmen, die unsicher klangen oder zttrig waren, habe ich als ängstlich wargenommen~~Freude haate für mich in der Stimme immer einen Schwung nach oben",ModularPROMS.2023-11-11-0030.data.c1e1659c-9de7-489d-b80d-6a5ec7e7e936.txt,3,1,2,3,1,4,4,1,4,1,3,1,1,2,2,2,3,3,4,4,4,2,3,4,3,1,2,4,1,4,1,3,2,4,4,2,2,2,4,4,4,4,2,4,4,1,4,2,3,3,4,5,2,5,5,1,2,5,3,3,3,3,4,2,2,1,1,5,2,3,3,5,4,4,3,5,3,2,1,2,7,5,1,3,7,7,7,5,1,7,1,6,1,1,5,6,6,7,5,6,6,7,1,7,2,6,1,6,5,3,7,13,4,5,5,13,2,6,Geige und Gesang,5,1,2,"",2,6,1,4,Deutschland,Deutschland,4,1,5,1,1,1,1,1,1,3,2,1,1,1,3,1,1,4,1,1,E,H,M,9,2,A,"",2023-11-10-23-37,2023-11-11-00-54,77
s.6e077dfd-560a-4cb0-aeb7-b1e7046aea9b.txt,0106023,25,1,1,Elektrotechnik,2,0,0,1,0,0,0,"",1,"","",emo_parameters.2023-11-25-1546.data.6e077dfd-560a-4cb0-aeb7-b1e7046aea9b.txt,1,"",2,4,4,5,2,5,5,4,Ob die Stimme nach oben oder unten geht und wie stark,ModularPROMS.2023-11-25-1609.data.6e077dfd-560a-4cb0-aeb7-b1e7046aea9b.txt,2,2,3,3,2,4,2,3,4,3,2,1,2,4,1,2,4,4,1,2,4,2,2,1,1,1,3,3,4,3,1,3,4,1,4,3,2,3,4,4,2,1,4,2,2,4,1,1,1,4,5,2,4,1,4,1,3,1,1,2,3,5,5,5,3,3,4,4,5,5,3,5,5,5,5,4,1,2,2,4,5,6,2,5,2,7,6,7,5,6,5,7,1,1,4,7,1,7,6,3,7,6,3,3,1,7,1,2,4,2,4,15,3,3,5,15,7,1,E-Bass,4,1,2,"",2,6,4,2,Deutschland,Deutschland,2,1,3,2,1,2,1,1,1,2,2,1,2,1,4,1,3,3,1,1,A,M,H,4,1,E,"",2023-11-25-15-30,2023-11-25-16-23,53
s.ff60477a-1a7b-4b04-ba19-a2c113e3517c.txt,0106023,22,1,1,Praktikantin mit BSc in Biologie,2,0,1,0,0,0,0,"",1,"","",emo_parameters.2023-10-21-1421.data.ff60477a-1a7b-4b04-ba19-a2c113e3517c.txt,1,"Teilweise hatte ich den Eindruck, dass eine Stimmung mehrere Kategorien beinhaltet, also dass gleichzeitig Trauer und Angst empfunden wurde und daher beiden Kategorien hätte zugeordnet werden können. ",3,2,1,5,2,5,5,2,"Ich hatte nicht wirklich eine Strategie sondern habe mehr nach Gefühl gklickt. Zwischendurch ist mir aufgefallen, dass viele Stimmen, die für mich ängstlich klangen, zitterten oder die Tonhöhe am Ende des Wortes hoch ging, wie bei einer Frage. Aber das traf nicht auf alle Stimmen zu, die ich als ängstlich wahrgenommen habe. ~~Bei Genuss und Trauer wurde nach meinem Gefühl eher langsamer gesprochen, insbesondere bei Freude eher schneller.",ModularPROMS.2023-10-21-1457.data.ff60477a-1a7b-4b04-ba19-a2c113e3517c.txt,3,2,1,3,2,4,4,2,3,4,3,2,2,3,1,2,2,4,4,4,4,2,2,2,3,2,2,3,3,3,1,3,4,3,3,2,3,2,3,2,3,3,1,2,3,2,2,2,3,3,5,4,2,5,4,3,2,2,2,1,3,3,5,3,3,3,1,4,3,2,4,5,4,1,4,4,2,2,2,3,5,5,3,3,5,3,6,4,1,6,3,5,4,2,5,5,2,6,4,7,5,6,3,3,6,4,4,2,3,3,6,15,4,5,1,14,2,2,Geige,7,1,2,"",2,6,1,1,Schweiz,Deutschland,3,1,4,2,1,1,1,1,1,2,1,1,2,2,3,1,3,3,1,1,E,H,Z,2,5,O,"",2023-10-21-13-56,2023-10-21-15-21,85
